Albany	16067799.970000003
Atlanta	88605118.85000008
BaltimoreWashington	134713919.32000005
Boise	14413187.750000004
Boston	97273984.83000001
BuffaloRochester	22962470.39999998
California	1028981653.1699994
Charlotte	35555544.41999998
Chicago	133702338.51000002
CincinnatiDayton	44522007.56999999
Columbus	29993361.419999998
DallasFtWorth	208419286.55000016
Denver	138902535.99000007
Detroit	63422419.38000005
GrandRapids	30211735.93000001
GreatLakes	589642549.2900001
HarrisburgScranton	41808858.67999999
HartfordSpringfield	50670537.46
Houston	203167867.80000007
Indianapolis	30263391.429999992
Jacksonville	28790004.74000001
LasVegas	54376906.39999997
LosAngeles	507896547.63000035
Louisville	16097002.399999999
MiamiFtLauderdale	97673224.03000002
Midsouth	508349357.2000002
Nashville	35612089.230000034
NewOrleansMobile	45695136.58
NewYork	240734127.53000006
Northeast	713280909.560001
NorthernNewEngland	71532894.10999997
Orlando	58660703.89
Philadelphia	71838798.18000002
PhoenixTucson	195643312.5
Pittsburgh	18806345.81
Plains	311188529.10999995
Portland	110552211.60000002
RaleighGreensboro	48202731.660000004
RichmondNorfolk	42230851.449999996
Roanoke	25042010.810000014
Sacramento	75163746.85999997
SanDiego	89791919.68999991
SanFrancisco	135830191.78000003
Seattle	109214177.96000004
SouthCarolina	60753772.89999998
SouthCentral	1011279618.8299994
Southeast	615238409.1100006
Spokane	15565275.480000002
StLouis	32072833.33000001
Syracuse	10942667.679999998
Tampa	66004539.31000001
TotalUS	5864740181.800009
West	1086779155.7499995
WestTexNewMexico	144521839.77999994
